text,label
"The monthly engineering metrics have been published.",0
"Your account access expires today unless you confirm your details.",1
"The updated project charter is available for review.",0
"Security notification: confirm your account credentials immediately.",1
"The support team has published the new response schedule.",0
"Your payment details must be updated immediately.",1
"The application testing results are available in the project folder.",0
"Your account may be suspended unless verification is completed today.",1
"The meeting agenda has been updated with two additional items.",0
"Confirm your login information to prevent account closure.",1
"The team will review the project risks during Friday's meeting.",0
"Urgent: your account security verification is required.",1
"The latest software build passed the initial QA checks.",0
"Your reward is ready. Verify your account information to claim it.",1
"The compliance team published the updated internal policy.",0
"Your account requires immediate confirmation due to suspicious activity.",1
"The office network maintenance has been completed successfully.",0
"Verify your payment information now or your service may be interrupted.",1
"The project manager shared the revised delivery timeline.",0
"Your account has been flagged for unusual activity. Confirm your identity.",1
"The development team will review open issues tomorrow.",0
"Final notice: confirm your account details to retain access.",1
"The security awareness workshop is scheduled for Friday.",0
"Your online account needs immediate verification.",1
"The quarterly planning session will begin at 2 PM.",0
"Update your credentials immediately to prevent your account from being locked.",1
"The internal knowledge base has been updated.",0
"Your payment method requires confirmation to keep your service active.",1
"The customer success team shared the latest service metrics.",0
"Urgent security notice: verify your account before the deadline.",1
"The project handover document is ready for review.",0
"Confirm your identity immediately or access to your account may be removed.",1
"The IT team has published the scheduled maintenance notice.",0
"Your account verification is required due to detected unusual activity.",1
"The final project report has been submitted for approval.",0
"Update your billing details immediately to prevent account suspension.",1
"The team will discuss the release plan during tomorrow's meeting.",0
"Your account security check is incomplete. Verify now.",1
"The latest training attendance report is available.",0
"Confirm your credentials now to avoid permanent account closure.",1
"The development backlog has been updated for the next sprint.",0
"Your account has been selected for urgent verification.",1
"The customer presentation slides are ready for review.",0
"Security alert: verify your account immediately to maintain access.",1
"The weekly operations meeting remains scheduled for Monday.",0
